t,"counter Vector LoRaNetworkTest.loRaNodes[0].SimpleLoRaApp($0=""avg"", #0 - General-0-20210629-16:51:53-20143)",t.loRaGW[0],"Gateway / Received RSSI LoRaNetworkTest.loRaGW[0].packetForwarder($0=""avg"", #0 - General-0-20210629-16:51:53-20143)",t.loRaGW[1],"Gateway / Received RSSI LoRaNetworkTest.loRaGW[1].packetForwarder($0=""avg"", #0 - General-0-20210629-16:51:53-20143)",t.loRaGW[2],"Gateway / Received RSSI LoRaNetworkTest.loRaGW[2].packetForwarder($0=""avg"", #0 - General-0-20210629-16:51:53-20143)",t.loRaGW[4],"Gateway / Received RSSI LoRaNetworkTest.loRaGW[4].packetForwarder($0=""avg"", #0 - General-0-20210629-16:51:53-20143)","SF Vector LoRaNetworkTest.loRaNodes[0].SimpleLoRaApp($0=""avg"", #0 - General-0-20210629-16:51:53-20143)","TP Vector LoRaNetworkTest.loRaNodes[0].SimpleLoRaApp($0=""avg"", #0 - General-0-20210629-16:51:53-20143)","X Vector LoRaNetworkTest.loRaNodes[0].SimpleLoRaApp($0=""avg"", #0 - General-0-20210629-16:51:53-20143)","Y Vector LoRaNetworkTest.loRaNodes[0].SimpleLoRaApp($0=""avg"", #0 - General-0-20210629-16:51:53-20143)","Z Vector LoRaNetworkTest.loRaNodes[0].SimpleLoRaApp($0=""avg"", #0 - General-0-20210629-16:51:53-20143)"
91399.31896346548,8.0,,-1000.0,,-1000.0,,-1000.0,91399.81253166361,-130.9825732791,10.0,0.0,381.30292593046,310.35543088282,1.2749190810855
91536.9816584526,9.0,,-1000.0,,-1000.0,,-1000.0,91537.47522661704,-129.29862159968,10.0,0.0,351.79713227016,342.19513926269,1.7518709043581
94507.86558515788,11.0,,-1000.0,94508.35915335322,-130.85285342034,,-1000.0,,-1000.0,10.0,0.0,255.47582269305,102.50461671771,1.6243952385549
99370.31442363464,14.0,,-1000.0,,-1000.0,99370.80799180156,-129.43319572111,,-1000.0,10.0,0.0,427.59196384024,361.96011583293,1.0537665469009
99477.59341489204,15.0,99478.08698310032,-131.43297774709,,-1000.0,,-1000.0,,-1000.0,10.0,0.0,105.01743924818,125.72716498831,1.0324850888141
101461.3972991968,20.0,,-1000.0,101461.89086743596,-132.68140036894,,-1000.0,,-1000.0,10.0,0.0,294.93136150901,173.1521972877,1.5094091197783
112963.7039634994,33.0,,-1000.0,112964.19753169024,-130.64306351886,,-1000.0,,-1000.0,10.0,0.0,287.85155192395,127.59219465004,1.8222066914523
120893.1527437881,43.0,120893.64631198219,-130.79523247556,,-1000.0,,-1000.0,,-1000.0,10.0,0.0,57.214426556086,128.04424029729,1.0650340566343
137788.96096871013,72.0,,-1000.0,,-1000.0,137789.45453689725,-130.46619820142,137789.4545369083,-130.98428113949,10.0,0.0,392.77395678389,348.01880863071,1.1077334006917
139502.79131959175,74.0,,-1000.0,139503.284887836,-132.87173145772,,-1000.0,,-1000.0,10.0,0.0,220.59011269682,175.16050703561,1.1985047851963
140018.2854497591,76.0,,-1000.0,,-1000.0,140018.7790179362,-129.96835649279,,-1000.0,10.0,0.0,414.13849337475,376.69160680125,1.4148575511217
146266.598834272,90.0,,-1000.0,,-1000.0,,-1000.0,146267.09240250543,-132.46251973262,10.0,0.0,369.3611899139,387.14515394381,1.5444936642748
149926.3222922881,94.0,,-1000.0,149926.8158604656,-129.98832052228,,-1000.0,,-1000.0,10.0,0.0,275.00627850803,121.54861899207,1.5194033416316
153016.9411457476,103.0,,-1000.0,153017.43471392617,-130.04049802658,,-1000.0,,-1000.0,10.0,0.0,265.10472622681,156.47225069919,1.3155356613257
154704.975430875,108.0,,-1000.0,,-1000.0,154705.4689990452,-129.61015923563,154705.46899911188,-132.59505077933,10.0,0.0,405.17812479462,364.44649616629,1.6728798599028
156345.41528988577,112.0,,-1000.0,,-1000.0,156345.90885807644,-130.63441711699,,-1000.0,10.0,0.0,448.60762843283,362.48577243997,1.4675956152738
159815.9280199022,116.0,,-1000.0,,-1000.0,159816.421588084,-130.2040249155,,-1000.0,10.0,0.0,439.13215808,340.80217037102,1.5883426296982
164642.73052135558,126.0,,-1000.0,164643.2240895301,-129.83373134825,,-1000.0,,-1000.0,10.0,0.0,275.17725200926,143.27001159362,1.2212271008216
166719.24202478645,128.0,,-1000.0,,-1000.0,,-1000.0,166719.73559295372,-129.45287488728,10.0,0.0,349.06385148892,332.10853397516,1.5124674978114
167820.184953635,131.0,,-1000.0,,-1000.0,167820.67852182483,-130.59618610958,,-1000.0,10.0,0.0,430.44129672122,384.13035369123,1.9027171917878
172618.93556472816,139.0,,-1000.0,,-1000.0,172619.42913295297,-132.1220486468,,-1000.0,10.0,0.0,390.6324457885,392.65664793074,1.2640526989805
